FP	TP
0	0
6.28E-07	1.45E-05
1.69E-06	3.22E-05
2.00E-06	5.06E-05
4.27E-06	6.50E-05
6.23E-06	8.77E-05
7.84E-06	0.000111358
1.08E-05	0.000134301
1.12E-05	0.000161897
1.39E-05	0.00019068
1.52E-05	0.00022385
1.70E-05	0.000248709
2.04E-05	0.000289518
2.16E-05	0.000323595
2.36E-05	0.000358327
2.68E-05	0.000383566
2.87E-05	0.000443998
2.94E-05	0.000503872
3.52E-05	0.000538018
4.12E-05	0.000586082
4.31E-05	0.000643669
4.43E-05	0.000673711
6.18E-05	0.000728026
6.45E-05	0.000765145
6.71E-05	0.000805262
6.91E-05	0.000856787
7.34E-05	0.000890001
7.50E-05	0.000925956
7.91E-05	0.000966476
8.07E-05	0.001006555
8.34E-05	0.001064497
9.11E-05	0.001109951
9.51E-05	0.001141567
9.93E-05	0.001193483
0.000108823	0.001234367
0.000112038	0.001293503
0.000113812	0.001333362
0.000115531	0.001395376
0.000121088	0.001433544
0.000123758	0.001474205
0.000126016	0.001536388
0.000127981	0.001592527
0.000139063	0.001668148
0.00014007	0.001739548
0.000142421	0.001834254
0.000146081	0.001893608
0.000149665	0.00192749
0.000155826	0.001964002
0.000159647	0.00207717
0.000165188	0.002111367
0.000168907	0.002152622
0.000171355	0.002220642
0.00017594	0.002284913
0.000177606	0.002324989
0.000187894	0.002403272
0.00020493	0.002490993
0.000206461	0.002548125
0.000221703	0.002612695
0.000222625	0.002684771
0.000227372	0.002827703
0.000233518	0.002955625
0.000260012	0.003086693
0.000260678	0.003176
0.000261561	0.003225075
0.000265739	0.00331021
0.000270805	0.003425704
0.000271428	0.003490966
0.000274046	0.003562791
0.000275899	0.003613955
0.000284882	0.003714547
0.000287035	0.003788654
0.000294982	0.00389999
0.000357565	0.004027459
0.000369239	0.004100242
0.000371315	0.004203961
0.000372197	0.004283613
0.000373164	0.004337847
0.000381329	0.004402529
0.000382682	0.004526142
0.000393409	0.004590435
0.000395446	0.004643278
0.000396047	0.004709722
0.000406726	0.004848561
0.000410097	0.004930586
0.0004111	0.005179023
0.000446691	0.005282794
0.000459703	0.005346915
0.000461869	0.005458213
0.000479357	0.005516702
0.000479713	0.005619186
0.000486541	0.005672667
0.000505559	0.00580718
0.00050902	0.005983784
0.00050902	0.006028293
0.00051307	0.006328507
0.000518091	0.006393744
0.000521475	0.006459105
0.000527266	0.006649212
0.000546625	0.006742688
0.000604941	0.006843026
0.000610707	0.006957227
0.000612785	0.007012185
0.000631838	0.007100059
0.000659008	0.007177215
0.000660875	0.007272921
0.000670712	0.007314341
0.000672576	0.007407835
0.000673832	0.00748414
0.000679751	0.007530218
0.00068037	0.007588011
0.000685423	0.007723408
0.000714386	0.007835177
0.000723601	0.00793606
0.000724817	0.008093664
0.000736592	0.008151906
0.000738945	0.008283721
0.000753448	0.008332317
0.000756578	0.008416743
0.000773015	0.008543629
0.000775813	0.008650841
0.000795888	0.008758117
0.000799406	0.008866747
0.00080314	0.008926272
0.000810577	0.008989985
0.00082227	0.009228768
0.000842021	0.009280207
0.000846107	0.009360318
0.00085841	0.009518531
0.000870634	0.009572251
0.000885882	0.009738641
0.000895912	0.009835322
0.00090217	0.009908954
0.00090282	0.010012419
0.000909344	0.010117173
0.000913571	0.010205304
0.000916718	0.010295308
0.000919891	0.010386798
0.000925252	0.010434673
0.000955967	0.010604287
0.000964442	0.010742134
0.000968274	0.010796305
0.000968274	0.010924695
0.000976617	0.010984233
0.000982453	0.011057174
0.000985478	0.011144328
0.00100085	0.011188772
0.001003641	0.011255199
0.00102848	0.011358646
0.001030437	0.011414868
0.001042213	0.011484984
0.001045129	0.011638086
0.001048671	0.011698807
0.001051424	0.011764496
0.001058858	0.011826395
0.001066124	0.011927797
0.00107404	0.012027249
0.001078426	0.012136274
0.001116288	0.0122573
0.001137777	0.012426674
0.001149404	0.012595108
0.001161229	0.012695833
0.001181154	0.012770056
0.001212815	0.012912136
0.001213799	0.013043461
0.001224591	0.013191013
0.00123482	0.013376267
0.001247643	0.013495511
0.001270739	0.013665138
