FP-non-inferning	TP-non-inferning
0	0
0	1.56E-05
0	3.57E-05
2.94E-07	5.72E-05
8.83E-07	8.22E-05
8.83E-07	0.000114103
8.83E-07	0.000159466
2.53E-06	0.000194895
4.37E-06	0.000239809
5.27E-06	0.000288233
6.68E-06	0.000364743
9.09E-06	0.000422024
1.18E-05	0.000476814
1.18E-05	0.000577376
1.31E-05	0.000637787
1.74E-05	0.000708497
1.90E-05	0.000759629
1.96E-05	0.000836756
2.17E-05	0.000934837
2.23E-05	0.001018591
2.88E-05	0.001209909
2.95E-05	0.001321164
3.35E-05	0.00140957
3.57E-05	0.001458914
3.84E-05	0.001512528
3.97E-05	0.001567103
4.67E-05	0.00162746
4.83E-05	0.001711527
5.56E-05	0.001781434
5.76E-05	0.001833171
6.61E-05	0.001923436
6.70E-05	0.002109408
6.91E-05	0.002140332
7.64E-05	0.00222115
7.78E-05	0.0022796
8.02E-05	0.002348109
8.71E-05	0.002406898
9.18E-05	0.002488292
9.24E-05	0.002573535
9.61E-05	0.002680384
0.000107936	0.002749768
0.000110521	0.002822084
0.000113244	0.002872118
0.00011627	0.002920486
0.00011842	0.003005691
0.000119309	0.003077603
0.000122266	0.003162442
0.000130936	0.003210865
0.000134404	0.003294656
0.000134718	0.003383198
0.000135337	0.003475581
0.000136351	0.003531642
0.000144556	0.003631618
0.000145157	0.003673958
0.000147034	0.003714549
0.000150433	0.00391959
0.000155165	0.003965235
0.000159395	0.004067279
0.000162846	0.004147314
0.000172846	0.004311057
0.000177652	0.004376028
0.000179337	0.004511173
0.000181161	0.004569884
0.00018569	0.004642068
0.000191376	0.004743019
0.000194161	0.004834038
0.000196637	0.004909773
0.000199109	0.005025935
0.000200127	0.005156049
0.00020399	0.005214091
0.000207773	0.005338688
0.000210927	0.005438957
0.000215593	0.005525221
0.000223706	0.005612404
0.000223706	0.005712005
0.000227033	0.005763911
0.000229874	0.005905926
0.00023023	0.006028438
0.000238025	0.00616616
0.000239261	0.006251375
0.000240494	0.006374554
0.000247174	0.006452641
0.000248506	0.006620916
0.000251077	0.006694977
0.000272898	0.006885554
0.000276834	0.00702148
0.000282323	0.007103208
0.000284579	0.007181137
0.000286634	0.00726693
0.000288497	0.007355485
0.000293195	0.007501768
0.000305806	0.007638917
0.000318993	0.007791556
0.000323459	0.007860189
0.000330729	0.007950545
0.000337314	0.008071508
0.000345864	0.008180166
0.000352134	0.008225794
0.000353032	0.008288588
0.000357631	0.008362917
0.000367821	0.008445644
0.000386403	0.008556102
0.000389457	0.008610891
0.000392905	0.008672998
0.000396901	0.008746924
0.000423684	0.008841466
0.000424304	0.009154871
0.000435357	0.009566164
0.000446717	0.009635626
0.000451671	0.009776093
0.000465518	0.00990746
0.00049349	0.009983972
0.000502862	0.010108735
0.000507854	0.010226102
0.000511138	0.010343248
0.00051563	0.010507325
0.000521764	0.010736613
0.000546573	0.011209471
0.000550881	0.01134126
0.000555454	0.011459662
0.000558309	0.011596196
0.000560742	0.011739946
0.000567646	0.011836764
0.000625321	0.012155069
0.000644074	0.012242822
0.000668884	0.012416361
0.000671791	0.012648666
0.000675516	0.012783552
0.000678491	0.012857066
0.000681763	0.01293486
0.000691931	0.013046967
0.000696181	0.013154578
0.000703101	0.013349466
0.000723268	0.01347076
